actiontech-dble,online,mopCache,5.911028247,7.241790361,3.096193908,3.793246499,1.337157713,1.091439633,6.004896783,7.356791717,9105.342,4769.374,1540.399,1257.333,1151.995,9249.937,50
alfasoftware-soapstone,staticCIAThreads,mopCache,9.156669714,7.269617926,5.276291593,4.188927322,1.343944089,1.692805902,11.97145344,9.504317101,4396.694,2533.48,480.163,604.804,357.279,5748.249,33
apache-commons-io,cleanBytecode,mopCache,1.534393907,0.4120660043,0.996819734,0.2676988763,0.7271161209,2.707533585,8.496013746,2.281629521,1053.722,684.551,686.735,2557.168,944.464,5834.51,20
apache-commons-lang,cleanBytecodeThreads,mopCache,1.831616976,1.410784399,1.538829695,1.185267965,1.003744818,1.30315876,3.521243214,2.712201871,729.044,612.505,398.033,516.765,396.548,1401.571,20
apache-sling-org-apache-sling-feature,staticCIA,mopCache,8.757232653,6.039538145,4.859826112,3.351641591,1.799256282,2.608892515,12.32806489,8.502208527,2355.897,1307.405,269.023,390.079,149.519,3316.533,36
asciidoctor-asciidoclet,staticCIAThreads,mopCacheShared,5.38488395,1.694483645,3.595035582,1.131264676,2.767930989,8.796182364,8.221632177,2.587134912,2054.414,1371.56,381.515,1212.413,137.834,3136.676,25
braintree-braintree_java,staticCIAThreads,mopCache,6.218803833,8.292312709,2.128210511,2.83781054,2.791005019,2.093108801,7.981347224,10.64253332,2873.56,983.395,462.076,346.533,165.559,3687.989,50
ChannelApe-shopify-sdk,storeHashes,mopCache,4.867203671,4.93797766,1.836223255,1.86292377,1.373723719,1.354034706,6.64833091,6.745004264,3729.378,1406.962,766.226,755.244,557.773,5094.124,50
contentful-contentful.java,staticCIAThreads,mopCache,5.991719561,4.86821729,2.493481319,2.025930744,1.576215918,1.939979912,8.831883349,7.175824367,3356.777,1396.938,560.236,689.529,355.431,4947.939,50
datastax-native-protocol,staticCIAThreads,mopCache,5.760591583,4.463211662,1.827656971,1.416038577,1.345851835,1.737068133,10.3286084,8.002435998,1967.772,624.313,341.592,440.887,253.811,3528.17,50
davidmoten-rxjava2-file,staticCIAThreads,mopCache,6.995280005,4.316823487,2.288823461,1.412444801,1.786877697,2.89558048,7.194225861,4.439594004,1981.504,648.339,283.263,459.019,158.524,2037.858,32
davidmoten-rxjava-slf4j,staticCIAThreads,mopCache,1.785461095,1.853357633,1.584738259,1.645001819,2.720612658,2.620944802,2.480226279,2.574542968,590.843,524.42,330.919,318.796,121.634,820.754,50
devcon5io-mutation-analysis-plugin,staticCIAThreads,mopCacheShared,7.20470507,1.845347032,1.805045593,0.4623278114,1.322130623,5.161934877,10.37793735,2.658109623,3795.698,950.963,526.836,2056.902,398.475,5467.471,50
fsantiag-sonar-clojure,incrementalJar,mopCache,3.587230544,2.645626326,1.507672634,1.111926976,1.600350826,2.169931297,5.502831567,4.05840547,78.546,33.012,21.896,29.689,13.682,120.49,8
gabrie-allaigre-sonar-gitlab-plugin,storeHashes,mopCache,3.654533088,3.960896137,1.877693528,2.035102396,1.663599043,1.53492481,4.887673124,5.297411496,3626.85,1863.47,992.425,915.664,596.553,4850.649,50
googleapis-java-pubsub-group-kafka-connector,dynamicCIAThreads,mopCache,6.023758782,3.593691482,5.512234,3.288522846,3.0282066,5.075890959,7.982125616,4.762026149,1715.693,1570,284.821,477.418,94.056,2273.477,19
GoogleCloudPlatform-kafka-pubsub-emulator,staticCIAThreads,mopCache,3.473805376,2.075891774,2.049677766,1.224855383,1.386076955,2.319466572,6.356049095,3.798275552,1060.789,625.906,305.368,511.004,220.311,1940.934,14
google-compile-testing,staticCIAThreads,mopCache,3.275547272,3.596894487,2.384975875,2.618953678,2.092248782,1.905326891,4.714244119,5.176734535,1653.719,1204.098,504.868,459.763,241.304,2380.071,50
imglib-imglib2,incrementalJar,mopCacheShared,1.388965608,0.1371669778,1.289603472,0.1273544931,1.047855297,10.61068045,9.660041428,0.9539751603,84.488,78.444,60.828,615.95,58.05,587.601,20
jdbc-observations-datasource-proxy,jarThreads,mopCacheShared,5.727287811,1.866953924,1.971613319,0.6426970922,1.272075259,3.902367934,9.740283361,3.175091045,3624.411,1247.7,632.832,1941.35,497.48,6163.963,50
jmxtrans-embedded-jmxtrans,staticCIAThreads,mopCache,6.57377035,8.295553621,2.005849911,2.531216426,2.359782342,1.869997821,8.028204825,10.13092945,2277.818,695.029,346.501,274.583,146.836,2781.781,50
JodaOrg-joda-time,cleanBytecodeThreads,mopCache,3.014180069,4.106534924,2.118926411,2.886836587,1.054944168,0.7743247637,5.12013032,6.975692722,1457.13,1024.342,483.425,354.832,458.247,2475.199,50
jscep-jscep,staticCIAThreads,mopCache,2.036165399,1.770832895,1.254463442,1.09099444,0.9890497579,1.137243893,2.743828887,2.386280826,2187.988,1348,1074.563,1235.57,1086.46,2948.417,50
jsunsoftware-http-request,storeHashesThreads,mopCache,7.705110824,5.810909135,3.292477226,2.483064349,1.480110692,1.962587377,9.927556525,7.486995349,1903.956,813.581,247.103,327.652,166.949,2453.129,26
Mastercard-client-encryption-java,cleanBytecodeThreads,mopCacheShared,6.009430058,1.245983657,2.597755829,0.5386136915,1.368915247,6.602334139,29.61188077,6.13967034,1640.953,709.351,273.063,1316.994,199.474,8085.909,50
mdewilde-opml-parser,dynamicCIAThreads,mopCache,4.023545478,1.862357092,3.467920639,1.605177978,4.174644494,9.019146785,4.854944602,2.247182381,780.769,672.95,194.05,419.237,46.483,942.102,18
meltmedia-jgroups-aws,dynamicCIAThreads,mopCacheShared,1.898768372,0.5876921904,1.576459479,0.4879336197,5.19293907,16.77781094,4.678027753,1.44790719,231.251,191.997,121.79,393.49,23.453,569.737,11
microfocus-idol-java-configuration-impl,staticCIAThreads,mopCache,2.558889096,2.042868515,1.753037881,1.399523683,2.548634354,3.192409405,6.836185442,5.457613627,315.662,216.253,123.359,154.519,48.402,843.305,24
mitre-HTTP-Proxy-Servlet,staticCIAThreads,mopCacheShared,2.195712553,0.8956692673,1.53291654,0.6253032675,1.133011794,2.777552285,3.130574962,1.277015873,1464.885,1022.696,667.157,1635.52,588.835,2088.585,50
Pablissimo-SonarTsPlugin,staticCIA,mopCache,9.472889242,5.058639976,1.548080527,0.8266941419,1.10305492,2.065598093,15.94399241,8.514289079,429.605,70.207,45.351,84.925,41.114,723.076,10
pagehelper-Mybatis-PageHelper,cleanBytecodeThreads,mopCache,6.99988329,7.005998029,2.278029803,2.280019773,1.403312635,1.402087843,9.109096599,9.117053838,4138.401,1346.794,591.21,590.694,421.296,5385.389,50
qoomon-banking-swift-messages-java,dynamicCIAThreads,mopCache,5.749937394,2.830670871,2.881339103,1.418471561,1.692657207,3.438291986,8.771328779,4.318089602,1308.772,655.836,227.615,462.354,134.472,1996.486,18
sailthru-sailthru-java-client,storeHashes,mopCache,10.43646911,7.763112986,1.425574062,1.060405813,1.369448174,1.841040262,19.32890322,14.3777036,1032.626,141.052,98.944,133.017,72.251,1912.479,22
sblendorio-petscii-bbs,storeHashesThreads,mopCache,13.06476965,13.784834,1.25867771,1.328049691,1.620751988,1.536090415,17.04149977,17.98074148,4041.286,389.343,309.327,293.169,190.854,5271.396,50
sigopt-sigopt-java,staticCIAThreads,mopCache,9.920517059,6.928094144,2.590735441,1.809266486,1.387429408,1.986696028,14.25104537,9.952362704,2856.474,745.966,287.936,412.303,207.532,4103.389,50
smartystreets-smartystreets-java-sdk,storeHashesThreads,mopCache,17.77468687,11.58596991,6.731586486,4.387810545,1.607649289,2.466385027,27.28186488,17.78297801,1650.433,625.048,92.853,142.451,57.757,2533.203,20
soot-oss-heros,dynamicCIAThreads,mopCache,3.378110264,2.182419958,2.494425973,1.611517862,3.191635456,4.940248301,4.41588978,2.852874903,310.901,229.572,92.034,142.457,28.836,406.412,13
square-javapoet,storeHashes,mopCacheShared,5.053541235,1.771517204,1.671609088,0.5859820115,1.29240855,3.686805798,7.643290212,2.679352849,1010.213,334.158,199.902,570.253,154.674,1527.909,20
studerw-td-ameritrade-client,staticCIAThreads,mopCache,6.640074903,5.771527746,3.109892812,2.703106955,1.933661488,2.224654837,8.223808909,7.148103296,2673.666,1252.217,402.656,463.251,208.235,3311.366,50
timmolter-Yank,staticCIAThreads,mopCache,4.845303507,2.2537996,4.232713221,1.968852384,1.805398564,3.881314023,8.066032968,3.751926344,297.177,259.605,61.333,131.856,33.972,494.714,17
TNG-property-loader,staticCIA,mopCache,2.436133984,1.734026773,1.848658127,1.315864689,1.521224774,2.137168484,4.310638406,3.068288712,95.857,72.741,39.348,55.28,25.866,169.615,15
valfirst-jbehave-junit-runner,staticCIAThreads,mopCache,6.415977209,3.562373871,2.039645831,1.132482361,1.344629602,2.421731462,11.6181484,6.450800395,939.113,298.545,146.371,263.62,108.856,1700.56,19
vaulttec-sonar-auth-oidc,storeHashesThreads,mopCache,3.37184463,2.07724531,2.751032384,1.694790166,2.090006489,3.392558944,16.06922408,9.89954284,651.582,531.615,193.242,313.676,92.46,3105.249,26
venushka-jmxeval,staticCIAThreads,mopCacheShared,5.889555008,1.577262795,3.055956849,0.8184059804,1.58318489,5.911668321,7.775141932,2.082235768,685.715,355.802,116.429,434.75,73.541,905.252,21
visenze-visearch-sdk-java,incrementalJarThreads,mopCache,8.810422096,8.615705904,1.44651139,1.414542526,1.310914536,1.340541392,13.85111678,13.54499788,2931.201,481.25,332.697,340.216,253.79,4608.225,50
